Course title,Course_Type,Organization,Skills,Workload,Difficulty_level,Language,Course_link,Ratings,Review count,Payment_Model
Confident Conversations About Race and Racism,Individual Course,The University of Sydney,Governance And Society,"5 weeks of study, 2-3 hours per week",Beginner,en,https://www.coursera.org/learn/confident-conversations-about-race-and-racism,5.0,12,Free Audit / Pay for Cert
Speaking and Presenting: Pitches and Persuasion,Individual Course,University of Michigan,"Personal Development, Law",,Beginner,en,https://www.coursera.org/learn/speaking-and-presenting-pitches-persuasion,4.6,94,Free Audit / Pay for Cert
Data Visualization for Genome Biology,Individual Course,University of Toronto,"Data Analysis, Research Methods",Around 2.5 hours per week,Intermediate,en,https://www.coursera.org/learn/data-visualization-for-genome-biology,4.8,25,Free Audit / Pay for Cert
Essential Tools For Application Development,Individual Course,LearnQuest,"Software Development, Mobile And Web Development","2 weeks, 3-4 hours per week",Beginner,en,https://www.coursera.org/learn/essential-programming-tools,4.4,10,Free Audit / Pay for Cert
Introduction to Generative AI for Software Development,Individual Course,DeepLearning.AI,"Software Development, Machine Learning","3 weeks of study, 5 hours/week",Beginner,en,https://www.coursera.org/learn/introduction-to-generative-ai-for-software-development,4.6,620,Free Audit / Pay for Cert
Introduction to Micro Electro Mechanical Systems (MEMS),Individual Course,University of Minnesota,"Electrical Engineering, Mechanical Engineering",,Intermediate,en,https://www.coursera.org/learn/introduction-to-micro-electro-mechanical-systems,N/A,6,Free Audit / Pay for Cert
Electrocardiogram (ECG),Individual Course,Lecturio,Patient Care,6 hours,Intermediate,en,https://www.coursera.org/learn/lecturio-electrocardiogram-ecg,N/A,7,Free Audit / Pay for Cert
Queering Identities: LGBTQ+ Sexuality and Gender Identity,Individual Course,University of Colorado System,Education,,Beginner,en,https://www.coursera.org/learn/queeringidentities,4.8,728,Free Audit / Pay for Cert
Set and Implement Goals,Individual Course,Harvard Business Review ,Leadership And Management,4 hrs 7m,Intermediate,en,https://www.coursera.org/learn/set-and-implement-goals,N/A,3,Free Audit / Pay for Cert
Capstone and Practice Exam (AZ-500),Individual Course,Microsoft,"Cloud Computing, Computer Security And Networks",4-5 hours/week,Intermediate,en,https://www.coursera.org/learn/az-500-capstone-and-practice-exam,4.5,17,Free Audit / Pay for Cert
Project Execution: Running the Project,Individual Course,Google,"Leadership And Management, Business Essentials",,Beginner,en,https://www.coursera.org/learn/project-execution-google,4.8,10059,Free Audit / Pay for Cert
Mathematics for Computer Science,Individual Course,University of London,"Math And Logic, Software Development",,Beginner,en,https://www.coursera.org/learn/mathematics-for-computer-science,4.2,277,Free Audit / Pay for Cert
AI Infrastructure and Operations Fundamentals,Individual Course,NVIDIA,"Machine Learning, Cloud Computing",7 Hours,Beginner,en,https://www.coursera.org/learn/ai-infrastructure-operations-fundamentals,4.6,470,Free Audit / Pay for Cert
AI Agents and Agentic AI Architecture in Python,Individual Course,Vanderbilt University,"Machine Learning, Business Essentials",~2hrs a week,Beginner,en,https://www.coursera.org/learn/ai-agents-architecture-python,4.7,118,Free Audit / Pay for Cert
Climate Change and Water in Mountains: A Global Concern,Individual Course,University of Geneva,"Environmental Science And Sustainability, Governance And Society","5 weeks of study, 2-3 hours per week",Intermediate,en,https://www.coursera.org/learn/climate-changes-mountains-water,4.7,329,Free Audit / Pay for Cert
Engineering Practices for Building Quality Software,Individual Course,University of Minnesota,"Software Development, Design And Product","4 weeks of study, 3-7 hours/week",Intermediate,en,https://www.coursera.org/learn/engineering-practices-secure-software-quality,4.5,463,Free Audit / Pay for Cert
Boost Your Productivity with GitHub Copilot,Individual Course,Microsoft,Software Development,,Beginner,en,https://www.coursera.org/learn/introduction-to-github-copilot,4.3,64,Free Audit / Pay for Cert
IA générative : découvrir les concepts fondamentaux,Individual Course,Google Cloud,"Software Development, Cloud Computing",,Beginner,fr,https://www.coursera.org/learn/gen-ai-unlock-foundational-concepts-fr,N/A,1,Free Audit / Pay for Cert
Test-Driven Development in .NET Core - The Handbook,Individual Course,Packt,"Software Development, Mobile And Web Development",,Intermediate,en,https://www.coursera.org/learn/packt-test-driven-development-in-net-core-the-handbook-hljqf,N/A,0,Free Audit / Pay for Cert
Linux Basics: The Command Line Interface - 6,Individual Course,Dartmouth College,"Software Development, Algorithms","3 weeks, 3-5 hours a week",Beginner,en,https://www.coursera.org/learn/linux-basics-the-command-line-interface,4.6,34,Free Audit / Pay for Cert
Rust Programming Essentials: Unit 5,Individual Course,Pearson,Software Development,3.5 hours,Intermediate,en,https://www.coursera.org/learn/pearson-rust-programming-essentials-video-course-5-a6r35,N/A,3,Free Audit / Pay for Cert
Gestión de Ingresos,Individual Course,Universidad de Palermo,"Finance, Business Essentials",4 horas por semana. ,Beginner,es,https://www.coursera.org/learn/gestion-de-ingresos,N/A,4,Free Audit / Pay for Cert
"Premiere Pro Pt. 3 — Audio, Color & Exporting",Individual Course,Skillshare,Music And Art,,Beginner,en,https://www.coursera.org/learn/premiere-pro-pt-3-audio-color-exporting,N/A,6,Free Audit / Pay for Cert
Entrepreneurship: Financial Literacy & Fundraising Readiness,Individual Course,Creo Incubator,"Entrepreneurship, Finance",,Advanced,en,https://www.coursera.org/learn/entrepreneurship-financial-literacy-and-fundraising-readiness,N/A,0,Free Audit / Pay for Cert
Logic and Reasoning for Computing,Individual Course,University of London,"Algorithms, Math And Logic",,Intermediate,en,https://www.coursera.org/learn/logic-and-reasoning-for-computing,N/A,0,Free Audit / Pay for Cert
Spatial Data Science and Applications,Individual Course,Yonsei University,"Data Analysis, Algorithms",,Intermediate,en,https://www.coursera.org/learn/spatial-data-science,4.5,531,Free Audit / Pay for Cert
Human Capital: Strategic HR and Managing Talent,Individual Course,University of Michigan,"Business Strategy, Personal Development",,Intermediate,en,https://www.coursera.org/learn/human-capital-strategic-hr-and-managing-talent,4.8,39,Free Audit / Pay for Cert
Bitbucket Pipelines for CI/CD Automation,Individual Course,Coursera,"Software Development, Support And Operations",60 Minutes,Intermediate,en,https://www.coursera.org/learn/bitbucket-pipelines-for-cicd-automation,N/A,0,Free Audit / Pay for Cert
Hardware Description Languages for FPGA Design,Individual Course,University of Colorado Boulder,"Electrical Engineering, Design And Product","4 weeks of study, 8-12 hours/week",Intermediate,en,https://www.coursera.org/learn/fpga-hardware-description-languages,4.4,625,Free Audit / Pay for Cert
Eye tracking y el estudio de la percepción visual,Individual Course,Universitat Autònoma de Barcelona,"Design And Product, Psychology",6 horas,Beginner,es,https://www.coursera.org/learn/eye-tracking-percepcion-visual,N/A,2,Free Audit / Pay for Cert
How to Optimize Your Instagram Account ,Individual Course,Coursera,"Marketing, Leadership And Management",1.45 hours,Beginner,en,https://www.coursera.org/learn/how-to-optimize-your-instagram-account,4.2,72,Free Audit / Pay for Cert
Create a Facebook Shop in Commerce Manager,Individual Course,Coursera,"Marketing, Business Strategy",1 hour,Beginner,en,https://www.coursera.org/learn/create-facebook-shop-commerce-manager,3.9,7,Free Audit / Pay for Cert
How to Use The IFE-EFE Matrix for Strategic Analysis,Individual Course,Coursera,"Business Strategy, Personal Development",2 Hours,Intermediate,en,https://www.coursera.org/learn/how-to-use-the-ife-efe-matrix-for-strategic-analysis,N/A,0,Free Audit / Pay for Cert
Navigating Generative AI: A CEO Playbook,Individual Course,Coursera,"Machine Learning, Leadership And Management",,N/A,en,https://www.coursera.org/learn/navigating-generative-ai-ceo-playbook-v2,4.8,95,Free Audit / Pay for Cert
Microsoft Project 2019–2024/365: Part 1,Individual Course,Logical Operations,Business Essentials,,N/A,en,https://www.coursera.org/learn/microsoft-project-2019-2024-365-lo091098,N/A,0,Free Audit / Pay for Cert
Graphs and Networks,Individual Course,"Birla Institute of Technology & Science, Pilani","Math And Logic, Algorithms","10 weeks of Study, 8 hours/week",Intermediate,en,https://www.coursera.org/learn/odc-graphs-and-networks,N/A,0,Free Audit / Pay for Cert
"Houdini FX: Model, Animate & Optimize 3D Workflows",Individual Course,EDUCBA,Design And Product,,N/A,en,https://www.coursera.org/learn/houdini-fx-model-animate-optimize-3d-workflows,N/A,0,Free Audit / Pay for Cert
Data Analytics in Excel Using Real-World Examples,Individual Course,Packt,"Data Analysis, Data Management",,Intermediate,en,https://www.coursera.org/learn/packt-data-analytics-in-excel-using-real-world-examples-slkgm,N/A,1,Free Audit / Pay for Cert
Analyze AI to Amplify Brand Success,Individual Course,Coursera,"Marketing, Business Essentials",,Beginner,en,https://www.coursera.org/learn/analyze-ai-to-amplify-brand-success,N/A,0,Free Audit / Pay for Cert
Cyber Security: Essentials for Managers and Leaders,Individual Course,Macquarie University,Computer Security And Networks,11 hours,Beginner,en,https://www.coursera.org/learn/cyber-security-essentials-managers-leaders,N/A,6,Free Audit / Pay for Cert
Preparing for your Cloud Database Engineer Journey,Individual Course,Google Cloud,"Cloud Computing, Software Development",,Advanced,en,https://www.coursera.org/learn/preparing-for-your-professional-cloud-database-engineer-journey,N/A,0,Free Audit / Pay for Cert
Qualitative Research Methods,Individual Course,University of Amsterdam,"Governance And Society, Data Analysis","8 weeks of study, 4-6 hours/week",Intermediate,en,https://www.coursera.org/learn/qualitative-methods,4.6,1396,Free Audit / Pay for Cert
Public Health Approaches to Abortion,Individual Course,Emory University,Public Health,"7 weeks of study, 1-3 hours per week",Beginner,en,https://www.coursera.org/learn/public-health-approaches-to-abortion,4.7,43,Free Audit / Pay for Cert
Cost Optimization and Data Tiering with BigLake and Cloud Storage,Individual Course,Google Cloud,"Cloud Computing, Networking",90 minutes,Beginner,en,https://www.coursera.org/learn/googlecloud-cost-optimization-and-data-tiering-with-biglake-and-cloud-stor-ix17o,N/A,0,Free Audit / Pay for Cert
Probability Foundations for Data Science and AI,Individual Course,University of Colorado Boulder,"Probability And Statistics, Data Analysis","6 weeks of study, 8-10 hours/week",Intermediate,en,https://www.coursera.org/learn/probability-theory-foundation-for-data-science,4.5,280,Free Audit / Pay for Cert
"Mobile App Notifications, Databases, & Publishing",Individual Course,SkillUp,"Mobile And Web Development, Software Development","4 weeks, 3-4 hours/week",Intermediate,en,https://www.coursera.org/learn/mobile-app-notifications-databases-publishing,4.6,13,Free Audit / Pay for Cert
Astronomía básica,Individual Course,Universidad Nacional Autónoma de México,"Physics And Astronomy, Education",,Beginner,es,https://www.coursera.org/learn/astronomiabasica,N/A,7,Free Audit / Pay for Cert
¿Qué hacer con tu estrategia digital en tiempos de cambio?,Individual Course,Tecnológico de Monterrey,"Marketing, Entrepreneurship",3-5 horas/semana,Beginner,es,https://www.coursera.org/learn/planificacion-marketing-digital-first-course-1,4.9,138,Free Audit / Pay for Cert
Sales Training: Inbound Business Strategy,Individual Course,HubSpot Academy,"Business Strategy, Leadership And Management",,Beginner,en,https://www.coursera.org/learn/inbound-business-strategy,4.8,123,Free Audit / Pay for Cert
Introduction to AutoSAR,Individual Course,EDUCBA,"Software Development, Support And Operations","3 weeks of study, 2-3 hours/week",Beginner,en,https://www.coursera.org/learn/introduction-to-autosar,4.6,258,Free Audit / Pay for Cert
Build AI Agents using MCP,Individual Course,IBM,"Software Development, Machine Learning","3 weeks, 3–4 hours/week",Intermediate,en,https://www.coursera.org/learn/build-ai-agents-using-mcp,N/A,1,Free Audit / Pay for Cert
Getting Started with SAS Programming,Individual Course,SAS,"Data Analysis, Algorithms",,Beginner,en,https://www.coursera.org/learn/sas-programming-basics,4.8,3177,Free Audit / Pay for Cert
Cloud Deployment,Individual Course,Packt,"Cloud Computing, Security",,Intermediate,en,https://www.coursera.org/learn/packt-cloud-deployment-ksjew,N/A,0,Free Audit / Pay for Cert
Security Essentials for Modern Developers,Individual Course,Coursera,"Software Development, Cloud Computing",30 mins/week,Advanced,en,https://www.coursera.org/learn/security-essentials-for-modern-developers,N/A,0,Free Audit / Pay for Cert
Avoir plus d’abonnés sur Twitter en publiant un vidéo tweet,Individual Course,Coursera,"Marketing, Entrepreneurship",2 heures,Beginner,fr,https://www.coursera.org/learn/avoir-plus-d-abonnes-sur-twitter-en-publiant-des-videos-tweets,N/A,0,Free Audit / Pay for Cert
Hybrid Project Plans and Changes,Individual Course,Coursera,"Leadership And Management, Software Development",169 minutes,Beginner,en,https://www.coursera.org/learn/hybrid-project-plans-and-changes,N/A,0,Free Audit / Pay for Cert
Data Storytelling with Power BI,Individual Course,Edureka,"Data Management, Data Analysis","5 weeks of study, 3-4 hours /week",Intermediate,en,https://www.coursera.org/learn/data-storytelling-with-power-bi,4.6,171,Free Audit / Pay for Cert
Ansible and Ansible-Playbooks for Automation,Individual Course,Packt,"Support And Operations, Data Management",,Intermediate,en,https://www.coursera.org/learn/packt-ansible-and-ansible-playbooks-for-automation-t9h7v,N/A,0,Free Audit / Pay for Cert
Practical Cybersecurity Fundamentals: Unit 1,Individual Course,Pearson,Security,4 hours 19 minutes,Beginner,en,https://www.coursera.org/learn/pearson-practical-cybersecurity-fundamentals-video-course-1-z2yv0,N/A,2,Free Audit / Pay for Cert
Data Structures & Algos: Software Development Skills,Individual Course,Northeastern University ,"Algorithms, Math And Logic",,N/A,en,https://www.coursera.org/learn/data-structures--algos-software-development-skills,N/A,0,Free Audit / Pay for Cert
ITIL 4 Awareness,Individual Course,Logical Operations,"Support And Operations, Business Strategy",,N/A,en,https://www.coursera.org/learn/itil-4-awareness-lo093062,N/A,1,Free Audit / Pay for Cert
التفكير الناقد | Critical Thinking,Individual Course,Alfaisal University | KLD,"Personal Development, Philosophy",4 أسابيع دراسة، 1 - 2 ساعات/ أسبوع,Intermediate,ar,https://www.coursera.org/learn/critical-thinking-1,4.9,1109,Free Audit / Pay for Cert
Validate Multimodal Data: Ensure Quality,Individual Course,Coursera,"Machine Learning, Data Management",97 minutes,Intermediate,en,https://www.coursera.org/learn/validate-multimodal-data-ensure-quality,N/A,0,Free Audit / Pay for Cert
Power BI: Data Visualization and Analysis,Individual Course,Whizlabs,"Data Analysis, Marketing","4 week of study, 4 hours/week",Intermediate,en,https://www.coursera.org/learn/power-bi-data-visualization-essentials,N/A,8,Free Audit / Pay for Cert
Responsible AI for Developers: Interpretability & Transparency - Español,Individual Course,Google Cloud,Cloud Computing,,Intermediate,es,https://www.coursera.org/learn/responsible-ai-for-developers-interpretabilitytransparency-es,N/A,0,Free Audit / Pay for Cert
The Beginner’s Guide to Business Negotiation  ,Individual Course,Coursera,"Leadership And Management, Business Strategy",1 Hour,Beginner,en,https://www.coursera.org/learn/the-beginners-guide-to-business-negotiation,4.8,17,Free Audit / Pay for Cert
Tools and Techniques for Managing Stress,Individual Course,Starweaver,"Leadership And Management, Psychology",90 minutes  ,Beginner,en,https://www.coursera.org/learn/tools-and-techniques-for-managing-stress,4.6,39,Free Audit / Pay for Cert
Teaching Infographics with Genially,Individual Course,Coursera,"Education, Personal Development",1 hour,Beginner,en,https://www.coursera.org/learn/teaching-infographics-with-genially,N/A,0,Free Audit / Pay for Cert
Getting started with Flutter Development,Individual Course,Google Cloud,"Cloud Computing, Software Development",1 hour ,Beginner,en,https://www.coursera.org/learn/googlecloud-getting-started-with-flutter-development-guo1q,4.2,51,Free Audit / Pay for Cert
What does it mean to identify as Transgender or Gender Non-Conforming (TGNC)?,Individual Course,University of Minnesota,"Personal Development, Education",,Beginner,en,https://www.coursera.org/learn/tgnc-gender-identity-social-change,4.4,109,Free Audit / Pay for Cert
Google Meet,Individual Course,Google Cloud,Cloud Computing,"3 weeks of study, 6-8 hours/week",Beginner,en,https://www.coursera.org/learn/google-meet,4.8,171,Free Audit / Pay for Cert
How to Build a BI Dashboard Using Google Data Studio and BigQuery,Individual Course,Google Cloud,"Data Management, Data Analysis",1 hour,Intermediate,en,https://www.coursera.org/learn/googlecloud-how-to-build-a-bi-dashboard-using-google-data-studio-and-bigqu-cfi1a,4.3,2,Free Audit / Pay for Cert
Data Processing and Manipulation,Individual Course,University of Colorado Boulder,"Data Analysis, Data Management",3-5 hours/week,Intermediate,en,https://www.coursera.org/learn/data-processing-and-manipulation,N/A,5,Free Audit / Pay for Cert
"People, Technology and the Future of Mobility ",Individual Course,University of Michigan,Governance And Society,,Beginner,en,https://www.coursera.org/learn/people-technology-and-the-future-of-mobility,4.7,667,Free Audit / Pay for Cert
Oracle SQL Exam Prep,Individual Course,LearnQuest,"Data Management, Software Development",2 weeks at 3.5 hours per week,Beginner,en,https://www.coursera.org/learn/oracle-sql-examprep,4.9,15,Free Audit / Pay for Cert
Finance for Everyone Capstone Project,Capstone Project,McMaster University,Finance,,N/A,en,https://www.coursera.org/learn/finance-capstone,4.8,77,Subscription
Competencias para la empleabilidad,Individual Course,Universidad Austral,"Education, Personal Development",2-3 horas/semana,Beginner,es,https://www.coursera.org/learn/competencias-empleabilidad-linkyou,4.6,226,Free Audit / Pay for Cert
Recuperación de proyectos en crisis,Individual Course,Universidad de los Andes,Leadership And Management,"8 semanas, 3.5 horas por semana aproximadamente",Intermediate,es,https://www.coursera.org/learn/recuperacion-de-proyectos-en-crisis,4.9,69,Free Audit / Pay for Cert
Introducción a Gemini Enterprise,Individual Course,Google Cloud,"Cloud Computing, Software Development",,Beginner,es,https://www.coursera.org/learn/introduccin-a-gemini-enterprise-es,N/A,0,Free Audit / Pay for Cert
Working with Data in Android,Individual Course,Meta,"Mobile And Web Development, Cloud Computing","5 weeks of study, 3-5 hours/week.",Intermediate,en,https://www.coursera.org/learn/working-with-data-in-android,4.7,58,Free Audit / Pay for Cert
Telehealth Clinical Essentials,Individual Course,Duke University,"Patient Care, Healthcare Management","1 week of study, 3 hours/week",Beginner,en,https://www.coursera.org/learn/telehealth-clinical-essentials,4.9,26,Free Audit / Pay for Cert
GenAI for Marketing Teams,Individual Course,Coursera,"Marketing, Machine Learning",1 Hour,Intermediate,en,https://www.coursera.org/learn/genai-for-marketing-teams,N/A,8,Free Audit / Pay for Cert
Vibe Coding with Cursor AI,Individual Course,Scrimba,"Machine Learning, Software Development",,Intermediate,en,https://www.coursera.org/learn/vibe-coding-with-cursor-ai,4.4,146,Free Audit / Pay for Cert
AI for Player Performance and Training,Individual Course,Real Madrid Graduate School Universidad Europea,Health Informatics,,Beginner,en,https://www.coursera.org/learn/ai-for-player-performance-and-training,N/A,4,Free Audit / Pay for Cert
Design and Implement a Source Control Strategy,Individual Course,Whizlabs,"Software Development, Cloud Computing",,Intermediate,en,https://www.coursera.org/learn/design-and-implement-a-source-control-strategy-microsoft-devops,N/A,0,Free Audit / Pay for Cert
데이터 기반 의사결정을 위한 질문,Individual Course,Google,"Data Analysis, Data Management",,Beginner,ko,https://www.coursera.org/learn/ask-questions-make-decisions-korean,N/A,0,Free Audit / Pay for Cert
Supervised Text Classification for Marketing Analytics,Individual Course,University of Colorado Boulder,"Data Analysis, Machine Learning",,Beginner,en,https://www.coursera.org/learn/supervised-text-classification-for-marketing-analytics,3.1,14,Free Audit / Pay for Cert
"Market Equilibrium, Government Policy & Elasticity",Individual Course,University of Illinois Urbana-Champaign,"Economics, Business Essentials",Customizable based on your level of interest,Beginner,en,https://www.coursera.org/learn/market-equilibrium-government-policies-and-elasticity,4.9,36,Free Audit / Pay for Cert
"Nanotecnologia, Sostenibilitat i matemàtiques al món nano",Individual Course,Universitat de Barcelona,"Electrical Engineering, Research",2h por semana y 8 semanas,Beginner,ca,https://www.coursera.org/learn/nanotecnologia-sostenibilitat-matematiques-al-mon-nano,N/A,0,Free Audit / Pay for Cert
Canva Design Essentials Pt. 1: Core Tools & Layouts,Individual Course,Skillshare,Design And Product,,N/A,en,https://www.coursera.org/learn/canva-design-essentials-pt-1-core-tools--layouts,4.4,20,Free Audit / Pay for Cert
"cPanel Basics: Configure, Manage & Optimize",Individual Course,EDUCBA,Mobile And Web Development,,N/A,en,https://www.coursera.org/learn/cpanel-basics-configure-manage-optimize,N/A,0,Free Audit / Pay for Cert
Graphic design: pop your Linkedin with 3D effect using Canva,Individual Course,Coursera,"Design And Product, Music And Art",1 hour,Beginner,en,https://www.coursera.org/learn/linkedin-cover-with-canva,4.5,26,Free Audit / Pay for Cert
 التسويق للشركات  والمشاريع الصغيرة عبر موقع يوتيوب,Individual Course,Coursera,"Marketing, Business Essentials",2 hours,Beginner,ar,https://www.coursera.org/learn/youtube-for-small-businesses-ar,4.6,6,Free Audit / Pay for Cert
Gemini for Security Engineers - Português Brasileiro,Individual Course,Google Cloud,"Software Development, Cloud Computing",,Beginner,pt-BR,https://www.coursera.org/learn/gemini-for-security-engineers-ptbr,N/A,0,Free Audit / Pay for Cert
CRM Integration and AI for Customer Management,Individual Course,Microsoft,"Marketing, Support And Operations",,Advanced,en,https://www.coursera.org/learn/crm-integration-and-ai-for-customer-management,N/A,0,Free Audit / Pay for Cert
3D Lighting 101 with Nomad Sculpt,Individual Course,Skillshare,"Music And Art, Design And Product",,Beginner,en,https://www.coursera.org/learn/3d-lighting-101-with-nomad-sculpt,N/A,0,Free Audit / Pay for Cert
Building a Generative AI-Ready Organization,Individual Course,Amazon Web Services,"Machine Learning, Algorithms",1 hour,Beginner,en,https://www.coursera.org/learn/building-generative-ai-ready-organization,4.5,96,Free Audit / Pay for Cert
Etkili Konuşmada Retorik (Rhetoric in Effective Speaking),Individual Course,Koç University,"Personal Development, Education",1-2 saat/hafta,N/A,tr,https://www.coursera.org/learn/retorik,4.6,53,Free Audit / Pay for Cert
"Hello, Python!",Individual Course,Google,Data Analysis,,Beginner,en,https://www.coursera.org/learn/google-hello-python,4.8,68,Free Audit / Pay for Cert
Redux in JavaScript and React,Individual Course,Scrimba,"Mobile And Web Development, Software Development",,Intermediate,en,https://www.coursera.org/learn/redux-in-javascript-and-react,N/A,9,Free Audit / Pay for Cert
Boost Productivity with Gemini in BigQuery - Indonesian,Individual Course,Google Cloud,"Cloud Computing, Software Development",,Beginner,id,https://www.coursera.org/learn/boost-productivity-with-gemini-in-bigquery-id,N/A,0,Free Audit / Pay for Cert
The Chief AI Officer's Handbook,Individual Course,Packt,"Leadership And Management, Data Management",,Advanced,en,https://www.coursera.org/learn/packt-the-chief-ai-officers-handbook,N/A,4,Free Audit / Pay for Cert
أساسيات برنامج مايكروسوفت وورد | Essentials of MS Word,Individual Course,Alfaisal University | KLD,"Personal Development, Data Analysis",1 أسبوع دراسة، 1 - 2 ساعات/ أسبوع,Beginner,ar,https://www.coursera.org/learn/essentials-of-ms-word,4.8,45,Free Audit / Pay for Cert
Creating Generative Art Dynamic NFTs with Google Cloud Vertex AI and Chainlink Functions,Individual Course,Google Cloud,"Cloud Computing, Networking",90 minutes,Intermediate,en,https://www.coursera.org/learn/googlecloud-creating-generative-art-dynamic-nfts-with-google-cloud-vertex-sbmnl,N/A,0,Free Audit / Pay for Cert
Responsible and Ethical AI,Individual Course,Northeastern University ,"Machine Learning, Software Development","4-6 hours per week, 4 weeks total",Intermediate,en,https://www.coursera.org/learn/responsible-and-ethical-ai,N/A,3,Free Audit / Pay for Cert
Introducción al diseño de Mercadeo con Canva,Individual Course,Coursera,"Marketing, Software Development",2 horas,Intermediate,es,https://www.coursera.org/learn/introduccion-diseno-mercadeo-canva,4.8,19,Free Audit / Pay for Cert
A Business Approach to Sustainable Landscape Restoration,Individual Course,Erasmus University Rotterdam,"Business Essentials, Environmental Science And Sustainability","7 weeks of study, 2-4 hours per week",Beginner,en,https://www.coursera.org/learn/landscape-restoration-sustainable-development,4.6,98,Free Audit / Pay for Cert
Advanced Tokenization and Sentiment Analysis,Individual Course,Edureka,"Machine Learning, Algorithms","4 weeks of study, 4 - 5 hours/week",Intermediate,en,https://www.coursera.org/learn/advanced-tokenization-and-sentiment-analysis,N/A,0,Free Audit / Pay for Cert
Diseña Productos Digitales con Visme,Individual Course,Coursera,"Marketing, Entrepreneurship",2 horas,Intermediate,es,https://www.coursera.org/learn/disena-productos-digitales-visme,N/A,0,Free Audit / Pay for Cert
PCB/CAD Design – DFM & DFT Considerations,Individual Course,Coursera,Cloud Computing,70 minutes,Intermediate,en,https://www.coursera.org/learn/pcbcad-design--dfm--dft-considerations,N/A,0,Free Audit / Pay for Cert
Create an infographic with Infogram ,Individual Course,Coursera,"Data Analysis, Business Essentials",2 hours,Beginner,en,https://www.coursera.org/learn/create-an-infographic-with-infogram,N/A,0,Free Audit / Pay for Cert
Compartir datos a través del arte de la visualización,Individual Course,Google,"Data Analysis, Data Management",,Beginner,es,https://www.coursera.org/learn/compartir-datos-a-traves-del-arte-de-la-visualizacion,N/A,4439,Free Audit / Pay for Cert
Financial Accounting: Advanced Topics,Individual Course,University of Illinois Urbana-Champaign,Finance,"4 weeks of study, 4-6 hours/week",Intermediate,en,https://www.coursera.org/learn/financial-accounting-advanced,4.7,1763,Free Audit / Pay for Cert
مهارات التواصل لتحقيق النجاح في الجامعة,Individual Course,The University of Sydney,Education,6 أسابيع من الدراسة، 2- 4 ساعات/الأسبوع,Beginner,ar,https://www.coursera.org/learn/communication-skills-ar,N/A,3,Free Audit / Pay for Cert
Interact with Terraform Modules,Individual Course,Google Cloud,"Cloud Computing, Networking",1 hour ,Beginner,en,https://www.coursera.org/learn/googlecloud-interact-with-terraform-modules-7tizt,N/A,0,Free Audit / Pay for Cert
"Trustworthy AI: Managing Bias, Ethics, and Accountability",Individual Course,Johns Hopkins University,"Machine Learning, Leadership And Management","3 weeks of study, 3-4 hours/week",Intermediate,en,https://www.coursera.org/learn/responsible-ai-and-ethics,4.4,12,Free Audit / Pay for Cert
Comprehensive Guide to Server-Side Logic and Development,Individual Course,Board Infinity ,"Software Development, Mobile And Web Development","3 Weeks of Study, 5 hours/week",Intermediate,en,https://www.coursera.org/learn/comprehensive-guide-server-side-logic-and-development,N/A,1,Free Audit / Pay for Cert
People Domain in Project Management,Individual Course,Packt,"Leadership And Management, Support And Operations",,Beginner,en,https://www.coursera.org/learn/packt-people-domain-in-project-management-hbdnk,N/A,3,Free Audit / Pay for Cert
Ética y Gobierno Corporativo,Individual Course,Universidad de Palermo,"Business Strategy, Governance And Society",4 horas semanales aproximadamente. ,Beginner,es,https://www.coursera.org/learn/etica-gobierno-corporativo,4.7,305,Free Audit / Pay for Cert
Exam Prep: Google Cloud Certified Cloud Digital Leader,Individual Course,Whizlabs,"Cloud Computing, Software Development","4 weeks of Study, 3 hours/week",Beginner,en,https://www.coursera.org/learn/exam-prep-google-cloud-certified-cloud-digital-leader,N/A,1,Free Audit / Pay for Cert
Create attractive infographics with Creately,Individual Course,Coursera,"Design And Product, Marketing",2 hours,Beginner,en,https://www.coursera.org/learn/create-attractive-infographics-with-creately,N/A,0,Free Audit / Pay for Cert
Segmenting the Market with Jagdish Sheth,Individual Course,Kennesaw State University,"Marketing, Leadership And Management",,Beginner,en,https://www.coursera.org/learn/segmenting-the-market,N/A,0,Free Audit / Pay for Cert
"Literacy Teaching and Learning: Aims, Approaches and Pedagogies",Individual Course,University of Illinois Urbana-Champaign,Education,"4 weeks of study, 2-4 hours/week",Beginner,en,https://www.coursera.org/learn/literacy-teaching-learning,4.5,124,Free Audit / Pay for Cert
Static Website Hosting and Cross-Region Replication ,Individual Course,Coursera,"Software Development, Cloud Computing",2 hours,Beginner,en,https://www.coursera.org/learn/static-website-hosting-and-cross-region-replication,N/A,0,Free Audit / Pay for Cert
"Apply Generative AI for Coaching, Research, and Performance",Individual Course,EDUCBA,Machine Learning,,Beginner,en,https://www.coursera.org/learn/apply-generative-ai-coaching-research-performance,N/A,0,Free Audit / Pay for Cert
"Elasticsearch: Build, Query & Optimize with ELK",Individual Course,EDUCBA,"Data Analysis, Probability And Statistics",,N/A,en,https://www.coursera.org/learn/elasticsearch-build-query-optimize-elk,N/A,0,Free Audit / Pay for Cert
AWS Cloud Practitioner (CLF-C02),Individual Course,KodeKloud,"Cloud Computing, Software Development",,Beginner,en,https://www.coursera.org/learn/aws-cloud-practitioner-clf-c02,N/A,3,Free Audit / Pay for Cert
