Course title,Course_Type,Organization,Skills,Workload,Difficulty_level,Language,Course_link,Ratings,Review count,Payment_Model
Brand Identity and Vector Graphics,Individual Course,Xbox,"Adobe Illustrator, Animation and Game Design, Branding, Color Theory, Design, Design Reviews, Graphic Design, Graphic and Visual Design, Layout Design, Logo Design, Peer Review, Style Guides, Typography","4 weeks of study, 5-6 hours/week",Beginner,en,https://www.coursera.org/learn/xbox-brand-identity-and-vector-graphics,4.6,16,Free Audit / Pay for Cert
CyberSec First Responder (CFR-310),Individual Course,Packt,"Cyber Attacks, Cyber Security Assessment, Cyber Threat Intelligence, Cybersecurity, Digital Forensics, Exploitation techniques, Intrusion Detection and Prevention, Network Analysis, Network Security, Security Management, Threat Detection, Threat Modeling",,Intermediate,en,https://www.coursera.org/learn/packt-cybersec-first-responder-cfr-310-x6eph,N/A,1,Free Audit / Pay for Cert
The Evolving Universe,Individual Course,Caltech,"General Science and Research, Mathematical Modeling, Physical Science, Physics, Systems Of Measurement",,N/A,en,https://www.coursera.org/learn/evolvinguniverse,4.6,840,Free Audit / Pay for Cert
Use SurveyMonkey to Create a Survey and Analyze Results,Individual Course,Coursera,"Marketing, Business Essentials",2 hours,Beginner,en,https://www.coursera.org/learn/create-survey-analyze-results-with-surveymonkey,4.6,79,Free Audit / Pay for Cert
Star Schemas & Track Changes,Individual Course,Coursera,"Business Intelligence, Data Integrity, Data Mart, Data Modeling, Data Quality, Data Transformation, Data Warehousing, Database Design, Extract, Load, Performance Analysis, Performance Tuning, Star Schema, Transform",106 minutes,Intermediate,en,https://www.coursera.org/learn/star-schemas--track-changes,N/A,0,Free Audit / Pay for Cert
Performing Data Aggregation using SQL Aggregate Functions,Individual Course,Coursera,"Data Analysis, Data Management",2 hours,Intermediate,en,https://www.coursera.org/learn/performing-data-aggregation-using-sql-aggregate-functions,4.7,9,Free Audit / Pay for Cert
Advancing Mask Technology for Semiconductors,Individual Course,Coursera,"Computer-Aided Design, Electronics, Emerging Technologies, Manufacturing Processes, Materials science, Production Process, Quality Assurance, Semiconductors, Technical Design",2 Hour,Intermediate,en,https://www.coursera.org/learn/advancing-mask-technology-for-semiconductors,N/A,3,Free Audit / Pay for Cert
Inteligencia Artificial para personajes en Unreal Engine,Individual Course,SAE Institute México,"3D Modeling, Animation and Game Design, Animations, Artificial Intelligence, Blueprinting, Game Design, Unreal Engine, Video Game Development",5 Horas,Beginner,es,https://www.coursera.org/learn/inteligencia-artificial-para-personajes-en-unreal-engine,N/A,0,Free Audit / Pay for Cert
Developing AI Policy,Individual Course,Fred Hutchinson Cancer Center,"Artificial Intelligence, Compliance Management, Data Ethics, Data Science, Education and Training, Generative AI, Governance, Intellectual Property, Legal Strategy, Policy Development, Regulation and Legal Compliance, Responsible AI, Stakeholder Engagement",1-2 hours,Beginner,en,https://www.coursera.org/learn/developing-ai-policy,4.2,23,Free Audit / Pay for Cert
Adobe Dreamweaver CC (2017): Part 1,Individual Course,Logical Operations,"Adobe Creative Cloud, Browser Compatibility, Cascading Style Sheets (CSS), Content Management, Development Environment, File Management, File Transfer Protocol (FTP), Front-End Web Development, HTML and CSS, Hypertext Markup Language (HTML), Image Quality, Information Architecture, Multimedia, Web Content, Web Design, Web Design and Development, Web Development, Web Development Tools",,N/A,en,https://www.coursera.org/learn/adobe-dreamweaver-cc-2017-lo092005,N/A,0,Free Audit / Pay for Cert
