Course title,Skills,Organization,Ratings,Review count,Workload,Workload_Hour,Difficulty_level,Language,Course_link,Payment_Model,Course_Type
Matplotlib with Python: E-commerce Data Visualization,"Data Analysis, Probability And Statistics",EDUCBA,,0,,,Intermediate,en,https://www.coursera.org/learn/matplotlib-python-ecommerce-data-visualization,Free Audit / Pay for Cert,Individual Course
The Role of the CEO in Navigating GenAI,"Machine Learning, Leadership And Management",Coursera,4.8,139,,,Beginner,en,https://www.coursera.org/learn/role-of-the-ceo-in-navigating-genai,Free Audit / Pay for Cert,Individual Course
Automation & Advanced Techniques with Copilot in Excel,"Data Analysis, Machine Learning",Microsoft,4.5,49,"3 weeks of study, 7 hours per week",21.0,Beginner,en,https://www.coursera.org/learn/automation-and-advanced-techniques-with-copilot-in-excel,Free Audit / Pay for Cert,Individual Course
Ethical Hacking,"Security, Software Development",SAE Institute México,,608,6,6.0,Beginner,es,https://www.coursera.org/learn/ethical-hacking,Free Audit / Pay for Cert,Individual Course
Build an iOS Stock Trading App with Swift & Charts,Software Development,EDUCBA,,0,,,Intermediate,en,https://www.coursera.org/learn/build-ios-stock-trading-app-swift-charts,Free Audit / Pay for Cert,Individual Course
Material Processing,"Mechanical Engineering, Environmental Science And Sustainability",Georgia Institute of Technology,4.8,1075,,,,en,https://www.coursera.org/learn/material-science-engineering,Free Audit / Pay for Cert,Individual Course
Healthcare Data Models,"Health Informatics, Data Analysis","University of California, Davis",4.6,56,"4 weeks of study, 2-5 hours/week",14.0,Intermediate,en,https://www.coursera.org/learn/healthcare-data-models,Free Audit / Pay for Cert,Individual Course
"Managing IT Project Scope, Schedule, and Resources","Support And Operations, Data Management",Packt,,1,,,Intermediate,en,https://www.coursera.org/learn/packt-managing-it-project-scope-schedule-and-resources-mrffh,Free Audit / Pay for Cert,Individual Course
Building the Business Model for Corporate Entrepreneurs,"Entrepreneurship, Business Strategy","University of Maryland, College Park",4.6,83,,,Beginner,en,https://www.coursera.org/learn/corporate-entrepreneurs-business-model,Free Audit / Pay for Cert,Individual Course
SQL Server Course for Beginners with 100+ examples,"Software Development, Data Management",Packt,,1,,,Beginner,en,https://www.coursera.org/learn/packt-sql-server-course-for-beginners-with-100-examples-ce4vo,Free Audit / Pay for Cert,Individual Course
Certified Kubernetes Application Developer (CKAD): Unit 1,Cloud Computing,Pearson,,5,1 hour 31 minutes,1.5166666666666666,Intermediate,en,https://www.coursera.org/learn/pearson-certified-kubernetes-application-developer-ckad-4th-edition-video-iupea,Free Audit / Pay for Cert,Individual Course
Organizing Communication and Documentation,"Leadership And Management, Business Essentials",Google,4.8,16,,,Beginner,en,https://www.coursera.org/learn/google-organizing-communication-and-documentation,Free Audit / Pay for Cert,Individual Course
循序渐进练瑜伽,"Healthcare Management, Music And Art",Shanghai Jiao Tong University,4.7,12,"12 weeks of study,2-3 hours/week",30.0,Beginner,zh-CN,https://www.coursera.org/learn/yoga-sjtu,Free Audit / Pay for Cert,Individual Course
Make Apps with ChatGPT and Generative AI,"Machine Learning, Design And Product",Packt,,0,,,Intermediate,en,https://www.coursera.org/learn/packt-make-apps-with-chatgpt-and-generative-ai-nsygy,Free Audit / Pay for Cert,Individual Course
Introduction to ADHD: What It Is and How It’s Treated,"Education, Personal Development",Universidad de Palermo,4.5,17,4 weeks: 3-4 hours/week.,14.0,Beginner,en,https://www.coursera.org/learn/introduction-to-adhd-what-it-is-and-how-its-treated,Free Audit / Pay for Cert,Individual Course
Terraform Basics - Managing Infrastructure as Code,"Cloud Computing, Software Development",Packt,,4,,,Beginner,en,https://www.coursera.org/learn/packt-terraform-basics-managing-infrastructure-as-code-jmv1i,Free Audit / Pay for Cert,Individual Course
Mobile Development with .NET MAUI,"Mobile And Web Development, Design And Product",Packt,,5,,,Intermediate,en,https://www.coursera.org/learn/packt-mobile-development-with-net-maui-nzkcy,Free Audit / Pay for Cert,Individual Course
"Expanda Seus Negócios com o 10,000 Women da Goldman Sachs",Entrepreneurship,Goldman Sachs,5.0,113,5 horas/semana.,5.0,,pt-BR,https://www.coursera.org/learn/10k-women-brpt-1,Free Audit / Pay for Cert,Individual Course
Introdução ao Teste de Software,"Software Development, Design And Product",Universidade de São Paulo,4.8,544,"6 semanas de estudo; 2 horas de dedicação por semana, aproximadamente.",60.0,Beginner,pt-BR,https://www.coursera.org/learn/intro-teste-de-software,Free Audit / Pay for Cert,Individual Course
Create a Project Management Dashboard using Bitrix24,Marketing,Coursera,4.5,12,1 hour,1.0,Beginner,en,https://www.coursera.org/learn/create-project-management-dashboard-using-bitrix24,Free Audit / Pay for Cert,Individual Course
Gestión innovadora: transformando instituciones educativas,Education,Universidad Austral,4.8,20,4 semanas,40.0,Intermediate,es,https://www.coursera.org/learn/gestion-innovadora,Free Audit / Pay for Cert,Individual Course
Command Line Tools for Genomic Data Science,"Data Analysis, Health Informatics",Johns Hopkins University,4.0,570,,,,en,https://www.coursera.org/learn/genomic-tools,Free Audit / Pay for Cert,Individual Course
Learn Non-Scary Adobe After Effects: Parenting & Tracking,"Music And Art, Design And Product",Skillshare,,1,,,Intermediate,en,https://www.coursera.org/learn/learn-non-scary-adobe-after-effects-parenting--tracking,Free Audit / Pay for Cert,Individual Course
Management of International Development: Towards Agenda 2030,Leadership And Management,Università Bocconi,4.8,218,,,,en,https://www.coursera.org/learn/towards-agenda-2030,Free Audit / Pay for Cert,Individual Course
Oracle SQL Proficiency,"Software Development, Data Management",LearnQuest,4.5,162,"2 weeks, 3-4 hours per week",7.0,Beginner,en,https://www.coursera.org/learn/oracle-sql-proficiency,Free Audit / Pay for Cert,Individual Course
Microsoft Office Excel 2021-2024: Part 2,"Business Essentials, Data Management",Logical Operations,,0,,,,en,https://www.coursera.org/learn/microsoft-excel-2021-2024-lo091164,Free Audit / Pay for Cert,Individual Course
Introduction to Systems Architecture  ,"Design And Product, Support And Operations",IBM,5.0,14,"5 weeks of study, 2–3 hours/week",12.5,Beginner,en,https://www.coursera.org/learn/introduction-to-systems-architecture,Free Audit / Pay for Cert,Individual Course
The 4 Core Change Principles,"Leadership And Management, Personal Development",Kotter,4.7,20,"3-4 weeks of study, 2-4 hours/week",10.5,Beginner,en,https://www.coursera.org/learn/core-change-principles,Free Audit / Pay for Cert,Individual Course
"Build ""Guess The Color"" game using JavaScript, HTML and CSS","Mobile And Web Development, Software Development",Coursera,4.2,2,80 minutes,1.3333333333333333,Intermediate,en,https://www.coursera.org/learn/guess-color-game,Free Audit / Pay for Cert,Individual Course
Brand New Brand,"Music And Art, Design And Product",California Institute of the Arts,4.9,1312,"6 weeks of study, 3-5 hours per week",24.0,Intermediate,en,https://www.coursera.org/learn/brand-new-brand,Subscription,Capstone Project
Disruptive Thinking,"Business Strategy, Business Essentials",Packt,,0,,,Intermediate,en,https://www.coursera.org/learn/packt-disruptive-thinking-b0rvo,Free Audit / Pay for Cert,Individual Course
Exploring Beethoven's Piano Sonatas Part 5,History,Curtis Institute of Music,5.0,48,,,Intermediate,en,https://www.coursera.org/learn/exploring-beethoven-piano-sonatas-5,Free Audit / Pay for Cert,Individual Course
"ZBrush ZModeler: Apply, Create & Render 3D Assets",Design And Product,EDUCBA,,0,,,,en,https://www.coursera.org/learn/zbrush-zmodeler-apply-create-render-3d-assets,Free Audit / Pay for Cert,Individual Course
Evaluación de inversiones en Bienes de Capital ,Finance,Universidad Nacional Autónoma de México,4.2,459,"4 semanas, 2 - 8 horas/semana",40.0,Intermediate,es,https://www.coursera.org/learn/evaluaciondeinversiones,Free Audit / Pay for Cert,Individual Course
Tech Support Career Guide and Interview Preparation,"Personal Development, Cloud Computing",IBM,4.9,138,,,,en,https://www.coursera.org/learn/tech-support-career-guide-and-interview-preparation,Free Audit / Pay for Cert,Individual Course
Introduction to Creative Thinking: Tools for Success,Personal Development,Imperial College London,4.9,788,,,Beginner,en,https://www.coursera.org/learn/introduction-to-creative-thinking,Free Audit / Pay for Cert,Individual Course
Command Line in Linux,"Support And Operations, Data Management",Coursera,4.6,205,1 hour,1.0,Beginner,en,https://www.coursera.org/learn/command-line-linux,Free Audit / Pay for Cert,Individual Course
Frontend Web Development with TypeScript,"Software Development, Mobile And Web Development",Edureka,,0,,,Intermediate,en,https://www.coursera.org/learn/frontend-web-development-with-typescript,Free Audit / Pay for Cert,Individual Course
The Outcomes and Interventions of Health Informatics,"Health Informatics, Algorithms",Johns Hopkins University,4.5,107,,,Beginner,en,https://www.coursera.org/learn/the-outcomes-and-interventions-of-health-informatics,Free Audit / Pay for Cert,Individual Course
"Cómo usar funciones, métodos y bucles en Python desde cero","Data Analysis, Cloud Computing",Coursera,,0,2 horas,2.0,Beginner,es,https://www.coursera.org/learn/como-usar-funciones-mtodos-y-bucles-en-python-desde-cero,Free Audit / Pay for Cert,Individual Course
Planet Earth...and You!,Environmental Science And Sustainability,University of Illinois Urbana-Champaign,4.9,536,"5 weeks of study, 6-8 hours/week",35.0,Beginner,en,https://www.coursera.org/learn/planet-earth,Free Audit / Pay for Cert,Individual Course
Elastic Cloud Infrastructure: Scaling and Automation 한국어,"Cloud Computing, Computer Security And Networks",Google Cloud,,1,"2 weeks of study, 3-5 hours/week",8.0,Intermediate,ko,https://www.coursera.org/learn/gcp-infrastructure-scaling-automation-ko,Free Audit / Pay for Cert,Individual Course
Facebook Watch: Create Engaging Videos,"Marketing, Design And Product",Coursera,,0,45 minutes,0.75,Beginner,en,https://www.coursera.org/learn/facebook-watch-create-engaging-videos,Free Audit / Pay for Cert,Individual Course
CompTIA Linux+ XK0-005: Unit 4,Support And Operations,Pearson,,0,3 hours 3 minutes,3.0,Intermediate,en,https://www.coursera.org/learn/pearson-comptia-linux-xk0-005-complete-video-course-3rd-edition-video-trai-cc4yh,Free Audit / Pay for Cert,Individual Course
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,"Philosophy, Psychology",The University of Edinburgh,4.6,1452,,,,en,https://www.coursera.org/learn/philosophy-cognitive-sciences,Free Audit / Pay for Cert,Individual Course
 Automate Blog Advertisements with Zapier ,"Marketing, Business Strategy",Coursera,4.8,2,2 hours,2.0,Intermediate,en,https://www.coursera.org/learn/automate-blog-advertisements-zapier,Free Audit / Pay for Cert,Individual Course
Machine Learning Operations with Vertex AI: Model Evaluation,"Software Development, Cloud Computing",Google Cloud,,3,,,Intermediate,en,https://www.coursera.org/learn/machine-learning-operations-with-vertex-ai-model-evaluation,Free Audit / Pay for Cert,Individual Course
BigQuery: Qwik Start - Console,"Data Management, Cloud Computing",Google Cloud,,0,30 minutes,0.5,Beginner,en,https://www.coursera.org/learn/googlecloud-bigquery-qwik-start-console-m30ek,Free Audit / Pay for Cert,Individual Course
Managing as a Coach,"Leadership And Management, Business Essentials","University of California, Davis",4.8,2276,,,,en,https://www.coursera.org/learn/managing-as-a-coach,Free Audit / Pay for Cert,Individual Course
Introduction to Generative AI,"Software Development, Machine Learning",Duke University,,10929,5 hours/week for 4 weeks,20.0,Beginner,en,https://www.coursera.org/learn/intro-gen-ai,Free Audit / Pay for Cert,Individual Course
Use AI Responsibly,"Machine Learning, Business Essentials",Google,4.8,1751,1 hour,1.0,Beginner,en,https://www.coursera.org/learn/google-use-ai-responsibly,Free Audit / Pay for Cert,Individual Course
Providing Customers Internet Connectivity using BGP ,"Networking, Computer Security And Networks",Cisco Learning and Certifications,,0,,,Beginner,en,https://www.coursera.org/learn/providing-customers-internet-connectivity-using-bgp,Free Audit / Pay for Cert,Individual Course
Optimize Growth: Map and Evaluate ROI,"Business Strategy, Data Analysis",Coursera,,0,168 minutes,2.8,Beginner,en,https://www.coursera.org/learn/optimize-growth-map--evaluate-roi,Free Audit / Pay for Cert,Individual Course
Culminating Project in Health Informatics,Health Informatics,Johns Hopkins University,4.8,66,,,,en,https://www.coursera.org/learn/culminating-project-course-in-health-informatics,Free Audit / Pay for Cert,Individual Course
c#高级编程,Software Development,Xi'an Jiaotong University,4.8,16,"5 周课程, 4-6 小时/周",25.0,Intermediate,zh-CN,https://www.coursera.org/learn/csharp-gaoji-biancheng,Free Audit / Pay for Cert,Individual Course
Career Options: Exploring a New Career,Personal Development,Kennesaw State University,4.1,53,,,Beginner,en,https://www.coursera.org/learn/career-exploration,Free Audit / Pay for Cert,Individual Course
Data Analysis with Pivot Tables: Build & Automate,Business Essentials,EDUCBA,5.0,27,,,,en,https://www.coursera.org/learn/data-analysis-pivot-tables-build-automate,Free Audit / Pay for Cert,Individual Course
TypeScript Operators,Mobile And Web Development,Coursera,4.5,3,2 hours,2.0,Intermediate,en,https://www.coursera.org/learn/typescript-operators,Free Audit / Pay for Cert,Individual Course
Kubernetes Engine: Qwik Start,"Cloud Computing, Support And Operations",Google Cloud,4.6,2,30 Minutes,0.5,Beginner,en,https://www.coursera.org/learn/googlecloud-kubernetes-engine-qwik-start-6slqv,Free Audit / Pay for Cert,Individual Course
Backend Development and API Creation,"Software Development, Cloud Computing",Packt,4.6,38,,,Intermediate,en,https://www.coursera.org/learn/packt-backend-development-and-api-creation-w2u4y,Free Audit / Pay for Cert,Individual Course
Stepping Up: Preparing Yourself for Leadership,"Leadership And Management, Personal Development",Queen Mary University of London,4.8,70,,,Advanced,en,https://www.coursera.org/learn/stepping-up-preparing-yourself-for-leadership,Free Audit / Pay for Cert,Individual Course
Managing Projects with AI,"Leadership And Management, Personal Development",AI CERTs,,0,,,Intermediate,en,https://www.coursera.org/learn/managing-projects-with-ai,Free Audit / Pay for Cert,Individual Course
Data Modeling and Architecture,"Data Analysis, Business Strategy",Microsoft,4.9,19,"4 weeks of study, 3-5 hours/week.",16.0,Beginner,en,https://www.coursera.org/learn/data-modeling-and-architecture,Free Audit / Pay for Cert,Individual Course
Créer des vidéos captivantes avec Google Vids,"Cloud Computing, Software Development",Google Cloud,,0,,,Beginner,fr,https://www.coursera.org/learn/create-engaging-video-with-google-vids-fr,Free Audit / Pay for Cert,Individual Course
Dive Deeper into Data-Driven Decisions with Power BI,"Business Essentials, Data Analysis",Knowledge Accelerators,,1,"4 weeks of study, 1-3 hours per week",8.0,Beginner,en,https://www.coursera.org/learn/dive-deeper-driven-decisions-with-power-bi,Free Audit / Pay for Cert,Individual Course
Capstone Project: Predicting Safety Stock ,"Machine Learning, Data Analysis",LearnQuest,3.9,10,"3 weeks of study, 3-4 hours/week",10.5,Intermediate,en,https://www.coursera.org/learn/ml-safety-stock,Free Audit / Pay for Cert,Individual Course
Preparing for Your Call Center Customer Service Role,"Business Essentials, Personal Development",CVS Health,4.8,60,"4 weeks of study, 5-6 hours/week",22.0,Beginner,en,https://www.coursera.org/learn/preparing-call-center-customer-service-role,Free Audit / Pay for Cert,Individual Course
Database Design and Operational Business Intelligence,"Data Analysis, Data Management",Edureka,,0,"4 weeks of study, 2 hours/week",8.0,Intermediate,en,https://www.coursera.org/learn/database-design-and-operational-business-intelligence,Free Audit / Pay for Cert,Individual Course
Cadence Design Systems: Essential Guide,"Software Development, Design And Product",Coursera,,5,2 Hour,2.0,Intermediate,en,https://www.coursera.org/learn/cadence-design-systems-essential-guide,Free Audit / Pay for Cert,Individual Course
Pricing Strategy in Practice,"Marketing, Leadership And Management",University of Virginia,4.7,170,"4 weeks of study, 3-5 hours/week",16.0,Intermediate,en,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-practice,Free Audit / Pay for Cert,Individual Course
Django Web Framework ,"Mobile And Web Development, Cloud Computing",Meta,4.7,661,"5 weeks of study, 1.5 - 3 hours/week.",11.25,Beginner,en,https://www.coursera.org/learn/django-web-framework,Free Audit / Pay for Cert,Individual Course
SPSS: Apply & Evaluate Cluster Analysis Techniques,"Machine Learning, Probability And Statistics",EDUCBA,4.8,20,,,,en,https://www.coursera.org/learn/spss-apply-evaluate-cluster-analysis-techniques,Free Audit / Pay for Cert,Individual Course
SMART Goals And Beyond: Goal Setting Using Latest Research,"Personal Development, Entrepreneurship",Alex Genadinik,,0,,,,en,https://www.coursera.org/learn/advanced-goal-setting,Free Audit / Pay for Cert,Individual Course
 ريادة الأعمال: الثقافة المالية وتمويل الشركات  ,"Finance, Entrepreneurship",Creo Incubator,,0,,,Advanced,ar,https://www.coursera.org/learn/entrepreneurship-financial-literacy-and-fundraising-readiness-ar,Free Audit / Pay for Cert,Individual Course
Artificial Intelligence: An Overview,"Algorithms, Data Management",Politecnico di Milano,,0,5 Weeks ,50.0,Beginner,en,https://www.coursera.org/learn/artificial-intelligence-an-overview,Free Audit / Pay for Cert,Individual Course
"Scene Optimization, Landscaping, and Final Rendering","Design And Product, Software Development",Packt,,0,,,Intermediate,en,https://www.coursera.org/learn/packt-scene-optimization-landscaping-and-final-rendering-azgqw,Free Audit / Pay for Cert,Individual Course
Adelántate a la crisis: elabora el BIA de tu negocio,Business Strategy,UBITS,,0,"1 semana de estudio, 2-3 horas/semana",10.0,Intermediate,es,https://www.coursera.org/learn/adelantate-a-la-crisis-elabora-el-bia-de-tu-negocio,Free Audit / Pay for Cert,Individual Course
Introduction to Game Design,"Music And Art, Design And Product",California Institute of the Arts,4.7,2917,"4 weeks, 2-3 hours/week",10.0,Beginner,en,https://www.coursera.org/learn/game-design,Free Audit / Pay for Cert,Individual Course
Responsible AI: Applying AI Principles with GC - Português,Software Development,Google Cloud,,2,,,Beginner,pt-BR,https://www.coursera.org/learn/responsible-ai-applying-ai-principles-with-gc---portugus,Free Audit / Pay for Cert,Individual Course
Jetson Nano Starter to Pro - A Computer Vision Course,"Software Development, Machine Learning",Packt,,1,,,Intermediate,en,https://www.coursera.org/learn/packt-jetson-nano-starter-to-pro-a-computer-vision-course-y7plq,Free Audit / Pay for Cert,Individual Course
Asia Oriental en el s. XX: introducción desde la Historia,"History, Education",Universitat Autònoma de Barcelona,4.7,31,"5 semanas de estudio, 2 horas por semana",50.0,Beginner,es,https://www.coursera.org/learn/historia-asia-oriental-japon-corea-china-taiwan,Free Audit / Pay for Cert,Individual Course
Agen AI Generatif: Mentransformasi Organisasi Anda,"Software Development, Cloud Computing",Google Cloud,,0,,,Beginner,id,https://www.coursera.org/learn/agen-ai-generatif-mentransformasi-organisasi-anda,Free Audit / Pay for Cert,Individual Course
"Custom Models, Layers, and Loss Functions with TensorFlow","Machine Learning, Software Development",DeepLearning.AI,4.9,1107,"At the rate of 5 hours a week, it typically takes 4 weeks to complete this course.",20.0,Intermediate,en,https://www.coursera.org/learn/custom-models-layers-loss-functions-with-tensorflow,Free Audit / Pay for Cert,Individual Course
"Extract, Analyze, and Translate Text from Images with the Cloud ML APIs","Cloud Computing, Software Development",Google Cloud,,0,50 minutes,0.8333333333333334,Advanced,en,https://www.coursera.org/learn/googlecloud-extract-analyze-and-translate-text-from-images-with-the-cloud-vgrcq,Free Audit / Pay for Cert,Individual Course
The Total Data Quality Framework,Data Analysis,University of Michigan,4.6,48,"4 weeks of study, 1.5-4 hours per week",11.0,Beginner,en,https://www.coursera.org/learn/the-total-data-quality-framework,Free Audit / Pay for Cert,Individual Course
Automating the Deployment of Networks with Terraform,"Networking, Cloud Computing",Google Cloud,,0,1 hour,1.0,Intermediate,en,https://www.coursera.org/learn/googlecloud-automating-the-deployment-of-networks-with-terraform-ukngs,Free Audit / Pay for Cert,Individual Course
Calvin - Histoire et réception d'une Réforme,History,University of Geneva,4.8,130,,,Beginner,fr,https://www.coursera.org/learn/calvin,Free Audit / Pay for Cert,Individual Course
CompTIA Linux+ XK0-005: Unit 1,Support And Operations,Pearson,,2,8 hours 30 minutes,8.0,Intermediate,en,https://www.coursera.org/learn/pearson-comptia-linux-xk0-005-complete-video-course-3rd-edition-video-trai-tnfnw,Free Audit / Pay for Cert,Individual Course
Procurement & Sourcing Introduction,"Leadership And Management, Personal Development",Rutgers the State University of New Jersey,4.7,1606,,,Beginner,en,https://www.coursera.org/learn/procurement-sourcing-introduction,Free Audit / Pay for Cert,Individual Course
Deploy and Monitor in Google Cloud for AWS Professionals,Cloud Computing,Google Cloud,,5,,,Intermediate,en,https://www.coursera.org/learn/deploy-and-monitor-in-google-cloud-for-aws-professionals,Free Audit / Pay for Cert,Individual Course
Mathematics for Machine Learning: Linear Algebra,"Machine Learning, Math And Logic",Imperial College London,4.6,12550,"5 weeks of study, 2-5 hours/week",17.5,Beginner,en,https://www.coursera.org/learn/linear-algebra-machine-learning,Free Audit / Pay for Cert,Individual Course
Tools for Data Science,"Data Analysis, Software Development",IBM,4.5,30277,"3 weeks of study, 2-3 hours/week",7.5,Beginner,en,https://www.coursera.org/learn/open-source-tools-for-data-science,Free Audit / Pay for Cert,Individual Course
Bases para el éxito en el desarrollo de ventas,"Business Essentials, Personal Development",Salesforce,3.9,23,,,Beginner,es,https://www.coursera.org/learn/sales-success-es,Free Audit / Pay for Cert,Individual Course
Ensino Híbrido: Personalização e Tecnologia na Educação,"Education, Personal Development",Fundação Lemann,4.9,644,,,Beginner,pt-BR,https://www.coursera.org/learn/ensino-hibrido,Free Audit / Pay for Cert,Individual Course
xDesign Feature Patterns and Sweeps,"Mechanical Engineering, Design And Product",Dassault Systèmes,,5,"2 weeks of study, 4 hours/week",8.0,Beginner,en,https://www.coursera.org/learn/xdesign-feature-patterns-and-sweeps,Free Audit / Pay for Cert,Individual Course
Logical Selling: A Practical Approach to Increase Sales,Business Essentials,Logical Operations,,0,,,,en,https://www.coursera.org/learn/logical-selling-practical-approach-increase-sales-lo097017,Free Audit / Pay for Cert,Individual Course
Data Analysis and Visualization,"Business Strategy, Data Analysis",University at Buffalo,4.7,171,,,Beginner,en,https://www.coursera.org/learn/data-analyze-visualize,Free Audit / Pay for Cert,Individual Course
Introduction to Vertex AI Embeddings: Text and Multimodal,"Cloud Computing, Machine Learning",Google Cloud,,0,1 hour 30 minutes,1.5,Beginner,en,https://www.coursera.org/learn/googlecloud-introduction-to-vertex-ai-embeddings-text-and-multimodal-vnl4j,Free Audit / Pay for Cert,Individual Course
Learn about VMware Environments on GCP,"Cloud Computing, Networking",Board Infinity ,4.6,13,"3 Weeks of Study, 4hours/week",12.0,Beginner,en,https://www.coursera.org/learn/google-cloud-vmware-engine,Free Audit / Pay for Cert,Individual Course
Business Strategy: Value Proposition Essentials,"Business Strategy, Business Essentials",Coursera,4.5,12,1 Hour,1.0,Beginner,en,https://www.coursera.org/learn/business-strategy-value-proposition-essentials,Free Audit / Pay for Cert,Individual Course
Economics of Reforms and Regulations,"Economics, Governance And Society",O.P. Jindal Global University,,0,"8 weeks of study, 6 hours/week",48.0,Beginner,en,https://www.coursera.org/learn/economics-of-reforms-and-regulations-1,Free Audit / Pay for Cert,Individual Course
Debug Audio Models: Performance and Root Cause,"Machine Learning, Software Development",Coursera,,0,133 minutes,2.216666666666667,Intermediate,en,https://www.coursera.org/learn/debug-audio-models-performance-and-root-cause,Free Audit / Pay for Cert,Individual Course
Touring 101 for Musicians,"Music And Art, Business Essentials",Berklee,,4,"4 weeks of study, 3-5 hours a week.",16.0,Beginner,en,https://www.coursera.org/learn/touring-101-for-musicians,Free Audit / Pay for Cert,Individual Course
Blockchain Transformations of Financial Services,"Computer Security And Networks, Finance",INSEAD,4.7,188,,,Beginner,en,https://www.coursera.org/learn/blockchain-transformations-financial-services,Free Audit / Pay for Cert,Individual Course
Analytical Solutions to Common Healthcare Problems,"Health Informatics, Data Analysis","University of California, Davis",4.5,35,"4 weeks of study, 2-5 hours/week",14.0,Intermediate,en,https://www.coursera.org/learn/analytical-solutions-common-healthcare-problems,Free Audit / Pay for Cert,Individual Course
Prezi pour les petites entreprises,"Design And Product, Marketing",Coursera,,0,2 heures,2.0,Beginner,fr,https://www.coursera.org/learn/prezi-pour-les-petites-entreprises,Free Audit / Pay for Cert,Individual Course
Observability in Google Cloud - Français,Cloud Computing,Google Cloud,,0,,,Beginner,fr,https://www.coursera.org/learn/observability-in-google-cloud-fr,Free Audit / Pay for Cert,Individual Course
Connected Leadership,"Personal Development, Leadership And Management",Yale University,4.8,776,"5 weeks of study, 3 hours per week",15.0,Intermediate,en,https://www.coursera.org/learn/connected-leadership,Free Audit / Pay for Cert,Individual Course
    GenAI for Compensation: Smarter Pay Equity Analysis,"Machine Learning, Data Analysis",Coursera,,4,4 Hours and 15 Minutes,4.0,Intermediate,en,https://www.coursera.org/learn/genai-for-compensation-smarter-pay-equity-analysis,Free Audit / Pay for Cert,Individual Course
Preparation for Job Interviews,"Personal Development, Business Essentials",Coursera,4.3,177,1 hour,1.0,Beginner,en,https://www.coursera.org/learn/preparation-for-job-interviews,Free Audit / Pay for Cert,Individual Course
Parte 4: Construyendo Organizaciones Sólidas,"Personal Development, Leadership And Management",IESE Business School,,0,"3 semanas de estudio, 4–6 horas/semana (estimado)",30.0,Beginner,es,https://www.coursera.org/learn/construyendo-organizaciones,Free Audit / Pay for Cert,Individual Course
Intercultural Communication and Conflict Resolution,"Business Essentials, Governance And Society","University of California, Irvine",4.5,652,"4 weeks of study, 2-3 hours/week",10.0,,en,https://www.coursera.org/learn/intercultural-communication,Free Audit / Pay for Cert,Individual Course
Create Image Captioning Models,Software Development,Google Cloud,4.7,32,,,Advanced,en,https://www.coursera.org/learn/create-image-captioning-models,Free Audit / Pay for Cert,Individual Course
Advanced Linux Administration and Shell Scripting,"Support And Operations, Security",Packt,,0,,,Advanced,en,https://www.coursera.org/learn/packt-advanced-linux-administration-and-shell-scripting-2g5xt,Free Audit / Pay for Cert,Individual Course
Web Design: Wireframes to Prototypes,"Music And Art, Design And Product",California Institute of the Arts,4.9,908,"4 weeks of study, 4-10 hours/week",28.0,Intermediate,en,https://www.coursera.org/learn/web-design-wireframes-prototypes,Free Audit / Pay for Cert,Individual Course
Custom Document Extraction with Document AI Workbench,"Cloud Computing, Software Development",Google Cloud,,0,1 hour,1.0,Intermediate,en,https://www.coursera.org/learn/googlecloud-custom-document-extraction-with-document-ai-workbench-g7pr3,Free Audit / Pay for Cert,Individual Course
Intermediate Object-Oriented Programming with Java,"Software Development, Mobile And Web Development",Coursera,4.6,15,1.5 hours,1.5,Intermediate,en,https://www.coursera.org/learn/intermediate-oop-java,Free Audit / Pay for Cert,Individual Course
HMI Design and Intermediate PLC Programming,"Support And Operations, Software Development",Packt,,0,,,Intermediate,en,https://www.coursera.org/learn/packt-hmi-design-and-intermediate-plc-programming-fd8dj,Free Audit / Pay for Cert,Individual Course
Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),"Business Strategy, Entrepreneurship",Kennesaw State University,4.7,691,"4 hours of study, 10 hours of active project work",4.0,Beginner,en,https://www.coursera.org/learn/business-model-canvas,Free Audit / Pay for Cert,Individual Course
Instagram Content Creation Essentials,"Marketing, Design And Product",Coursera,,1,1 week at 4 hours/week,4.0,Beginner,en,https://www.coursera.org/learn/instagram-content-creation-essentials,Free Audit / Pay for Cert,Individual Course
Create a no-code one page SMB website with Carrd,"Mobile And Web Development, Business Essentials",Coursera,,0,2 hours,2.0,Beginner,en,https://www.coursera.org/learn/create-a-no-code-one-page-smb-website-with-carrd,Free Audit / Pay for Cert,Individual Course
Global Politics,"Governance And Society, Philosophy",Università di Napoli Federico II,4.4,59,"4 weeks of study, 3-4 hours/week",14.0,Beginner,en,https://www.coursera.org/learn/global-politics,Free Audit / Pay for Cert,Individual Course
신재생 에너지와 녹색기업가 정신,"Entrepreneurship, Personal Development",Duke University,,2,,,Beginner,ko,https://www.coursera.org/learn/renewable-energy-entrepreneurship-ko,Free Audit / Pay for Cert,Individual Course
Optimize Backlogs and Jira Readiness,"Leadership And Management, Support And Operations",Coursera,,0,120 minutes,2.0,Beginner,en,https://www.coursera.org/learn/optimize-backlogs--jira-readiness,Free Audit / Pay for Cert,Individual Course
Advanced Armv8-M Features,Software Development,Arm,4.8,23,,,Advanced,en,https://www.coursera.org/learn/advanced-armv8-m-features,Free Audit / Pay for Cert,Individual Course
